SORT	ORIG	DEST	Distance
1065	DEN	MCI	533
1066	MCI	PHX	1044
1067	PHX	TUS	111
1071	TUS	ABQ	321
1072	ABQ	TUS	321
1076	TUS	ATL	1542
1077	ATL	JAX	270
1078	JAX	TUS	1729
1085	TUS	ORD	1437
1086	ORD	DFW	802
1087	DFW	TUS	814
1089	SAT	ONT	1167
1090	ONT	TUS	409
1091	TUS	SAT	763
1095	TUS	SLC	601
1096	SLC	LAS	368
1097	LAS	SLC	368
1098	SLC	TUS	601
1102	TUS	DFW	814
1103	DFW	MKE	854
1104	MKE	DFW	854
1105	DFW	TUS	814
1107	TUS	SLC	601
1108	SLC	TUS	601
1110	TUS	ORD	1437
1111	ORD	MKE	67
1112	MKE	DFW	854
1113	DFW	TUS	814
1115	TUS	ORD	1437
1116	ORD	MKE	67
1117	MKE	ORD	67
1118	ORD	TUS	1437
1124	SMF	LAX	373
1126	TUS	OMA	1046
1128	TUS	LAX	452
1129	LAX	TUS	452
1137	TUS	LAX	452
1138	LAX	TUS	452
1143	TUS	LAX	452
1144	LAX	TUS	452
1146	TUS	SAN	368
1147	SAN	TUS	368
1149	LAX	TUS	452
1153	TUS	ABQ	321
1154	ABQ	TUS	321
1156	TUS	ABQ	321
1157	ABQ	TUS	321
1159	TUS	ABQ	321
1160	ABQ	TUS	321
1162	TUS	ABQ	321
1163	ABQ	TUS	321
1165	TUS	DEN	639
1166	DEN	BNA	1014
1167	DEN	TUS	639
1168	BNA	DEN	1014
1170	TUS	ORD	1437
1171	ORD	LHR	3953
1172	LHR	LGW	26
1173	LGW	DRS	607
1174	DRS	PRG	75
1175	PRG	LHR	651
1176	LHR	DFW	4751
1177	DFW	TUS	814
1181	TUS	PHX	111
1182	PHX	MSP	1277
1183	MSP	GFK	284
1184	GFK	MSP	284
1185	MSP	PHX	1277
1186	PHX	TUS	111
1188	TUS	PHX	111
1189	PHX	MSP	1277
1190	MSP	GFK	284
1191	GFK	MSP	284
1192	MSP	PHX	1277
1193	PHX	TUS	111
1195	BDL	MDW	777
1196	MDW	PDX	1752
1197	PDX	LAS	763
1198	LAS	BDL	2298
1200	BIL	SLC	388
1201	SLC	BIL	388
1203	TUS	SLC	601
1204	SLC	PHX	508
1205	PHX	TUS	111
1207	STL	DFW	551
1208	DFW	TUS	814
1209	TUS	DFW	814
1210	DFW	STL	551
1212	BDL	ORD	784
1213	ORD	MSP	335
1214	MSP	PHL	981
1215	PHL	BDL	196
1217	TUS	DEN	639
1218	DEN	MSP	680
1219	MSP	PHX	1277
1220	PHX	TUS	111
1222	ACV	SMF	207
1223	SMF	DEN	910
1224	DEN	TUS	639
1225	TUS	SLC	601
1226	SLC	ACV	635
1230	TUS	SAN	368
1231	SAN	TUS	368
1233	TUS	ATL	1542
1234	ATL	DCA	548
1235	DCA	ATL	548
1236	ATL	TUS	1542
1238	TUS	SAN	368
1239	SAN	TUS	368
1241	ATL	LAX	1947
1242	LAX	TUS	452
1243	TUS	LAX	452
1244	LAX	ATL	1947
1248	TUS	LAS	365
1249	LAS	TUS	365
1253	PHX	DFW	868
1254	DFW	PHX	868
1256	PHX	ORD	1440
1257	ORD	PHX	1440
1261	TUS	DEN	639
1262	DEN	TUS	639
1264	TUS	SAN	368
1265	SAN	TUS	368
1267	TUS	SAN	368
1268	SAN	TUS	368
1272	ORD	TUS	1437
1273	TUS	ORD	1437
1277	TUS	ATL	1542
1278	ATL	MSN	708
1279	MSN	ATL	708
1280	ATL	TUS	1542
1282	TUS	ATL	1542
1283	ATL	MSN	708
1284	MSN	ATL	708
1285	ATL	TUS	1542
1287	TUS	ATL	1542
1288	ATL	MSN	708
1289	MSN	ATL	708
1290	ATL	TUS	1542
1294	DEN	PHX	602
1295	PHX	TUS	111
1296	TUS	DEN	639
1297	DEN	ASE	126
1298	ASE	DEN	126
1302	FRA	TRN	337
1303	TRN	AHO	318
1304	AHO	TRN	318
1305	TRN	FRA	337
1309	ATL	CHS	260
1310	CHS	ATL	260
1311	ATL	TUS	1542
1312	TUS	ATL	1542
1314	TUS	MDW	1440
1315	MDW	CLE	307
1316	CLE	MDW	307
1317	MDW	TUS	1440
1319	TUS	MDW	1440
1320	MDW	CLE	307
1321	CLE	MDW	307
1322	MDW	TUS	1440
1324	TUS	MDW	1440
1325	MDW	CLE	307
1326	CLE	MDW	307
1327	MDW	TUS	1440
1329	TUS	DFW	814
1330	DFW	MSP	852
1331	MSP	DFW	852
1332	DFW	TUS	814
1336	SAN	TUS	368
1340	TUS	DFW	814
1341	DFW	BOS	1562
1342	BOS	DFW	1562
1343	DFW	TUS	814
1345	TUS	CLT	1735
1346	CLT	SYR	604
1347	SYR	PHL	229
1348	PHL	PHX	2076
1349	PHX	TUS	111
1353	TUS	DEN	639
1354	DEN	TUS	639
1356	TUS	DEN	639
1357	DEN	TUS	639
1359	TUS	DEN	639
1360	DEN	TUS	639
1362	LAS	TUS	365
1364	LAX	SFO	338
1366	SFO	LAS	414
1368	TUS	LAX	452
1372	TUS	SBA	540
1373	SBA	LAX	89
1374	LAX	TUS	452
1380	TUS	ORD	1437
1381	ORD	ROC	528
1382	ROC	ORD	528
1383	ORD	SDF	287
1385	TUS	DFW	814
1386	DFW	HOU	248
1387	HOU	DFW	248
1388	DFW	TUS	814
1392	OKC	IAH	396
1393	IAH	TUS	936
1394	TUS	IAH	936
1395	IAH	OKC	396
1401	TUS	PHX	111
1402	PHX	IAH	1009
1403	IAH	PHX	1009
1404	PHX	TUS	111
1406	PHX	HOU	1020
1407	HOU	PHX	1020
1409	LAX	HKG	7260
1410	HKG	DPS	2137
1411	DPS	BKK	1832
1412	BKK	NRT	2890
1416	TUS	PHX	111
1417	PHX	STL	1262
1418	STL	PHX	1262
1419	PHX	TUS	111
1425	TUS	ORD	1437
1426	ORD	DAY	241
1427	DAY	DFW	862
1428	DFW	TUS	814
1432	SBA	PHX	455
1433	PHX	MKE	1461
1434	MKE	PHX	1461
1435	PHX	SBA	455
1439	TUS	ORD	1437
1440	ORD	LHR	3953
1441	LHR	DXB	3421
1442	DXB	LHR	3421
1443	LHR	ORD	3953
1444	ORD	PHX	1440
1446	RNO	PHX	601
1447	PHX	TUS	111
1448	TUS	PHX	111
1449	PHX	RNO	601
1451	DEN	DCA	1476
1452	DCA	IAD	24
1453	IAD	DEN	1453
1455	MSP	TUS	1298
1456	TUS	MSP	1298
1464	TUS	LAX	452
1465	LAX	TUS	452
1467	TUS	ORD	1437
1468	ORD	TUS	1437
1470	TUS	LAX	452
1471	LAX	TUS	452
1475	TUS	LAX	452
