SORT	ORIG	DEST	CO2_Emissions(tons_per_passenger)
1008	LAX	TUS	0.241
1010	OTP	IST	0.186
1011	IST	OTP	0.186
1012	OTP	SBZ	0.137
1013	SBZ	OTP	0.137
1015	TUS	DEN	0.299
1016	DEN	MUC	3.1
1017	MUC	OTP	0.333
1018	OTP	MUC	0.333
1020	TUS	SLC	0.291
1021	SLC	TUS	0.291
1023	TUS	PHX	0.13
1024	PHX	DCA	1.2
1025	DCA	PHX	1.2
1026	PHX	TUS	0.13
1028	TUS	SLC	0.291
1029	SLC	PHX	0.26
1030	PHX	TUS	0.13
1032	TUS	DEN	0.299
1033	DEN	HOU	0.385
1034	HOU	DEN	0.385
1035	DEN	TUS	0.299
1037	TUS	DFW	0.366
1038	DFW	BAQ	1.2
1039	BAQ	BOG	0.234
1040	BOG	MIA	0.917
1041	MIA	LAX	1.4
1042	LAX	TUS	0.241
1044	TUS	DFW	0.366
1045	DFW	BAQ	1.2
1046	BAQ	PTY	0.208
1047	PTY	DFW	1.2
1048	DFW	TUS	0.366
1052	TUS	PHX	0.13
1053	PHX	IND	0.894
1054	IND	PHX	0.894
1055	PHX	TUS	0.13
1057	TUS	PHX	0.13
1058	PHX	IND	0.894
1059	IND	PHX	0.894
1060	PHX	TUS	0.13
1064	TUS	DEN	0.299
1065	DEN	MCI	0.271
1066	MCI	PHX	0.499
1067	PHX	TUS	0.13
1071	TUS	ABQ	0.199
1072	ABQ	TUS	0.199
1076	TUS	ATL	0.939
1077	ATL	JAX	0.184
1078	JAX	TUS	1
1085	TUS	ORD	0.849
1086	ORD	DFW	0.357
1087	DFW	TUS	0.366
1089	SAT	ONT	0.608
1090	ONT	TUS	0.227
1091	TUS	SAT	0.344
1095	TUS	SLC	0.291
1096	SLC	LAS	0.214
1097	LAS	SLC	0.214
1098	SLC	TUS	0.291
1102	TUS	DFW	0.366
1103	DFW	MKE	0.374
1104	MKE	DFW	0.374
1105	DFW	TUS	0.366
1107	TUS	SLC	0.291
1108	SLC	TUS	0.291
1110	TUS	ORD	0.849
1111	ORD	MKE	0.116
1112	MKE	DFW	0.374
1113	DFW	TUS	0.366
1115	TUS	ORD	0.849
1116	ORD	MKE	0.116
1117	MKE	ORD	0.116
1118	ORD	TUS	0.849
1124	SMF	LAX	0.216
1126	TUS	OMA	0.502
1128	TUS	LAX	0.241
1129	LAX	TUS	0.241
1137	TUS	LAX	0.241
1138	LAX	TUS	0.241
1143	TUS	LAX	0.241
1144	LAX	TUS	0.241
1146	TUS	SAN	0.213
1147	SAN	TUS	0.213
1149	LAX	TUS	0.241
1153	TUS	ABQ	0.199
1154	ABQ	TUS	0.199
1156	TUS	ABQ	0.199
1157	ABQ	TUS	0.199
1159	TUS	ABQ	0.199
1160	ABQ	TUS	0.199
1162	TUS	ABQ	0.199
1163	ABQ	TUS	0.199
1165	TUS	DEN	0.299
1166	DEN	BNA	0.48
1167	DEN	TUS	0.299
1168	BNA	DEN	0.48
1170	TUS	ORD	0.849
1171	ORD	LHR	2.3
1172	LHR	LGW	0.102
1173	LGW	DRS	0.292
1174	DRS	PRG	0.12
1175	PRG	LHR	0.309
1176	LHR	DFW	2.7
1177	DFW	TUS	0.366
1181	TUS	PHX	0.13
1182	PHX	MSP	0.707
1183	MSP	GFK	0.186
1184	GFK	MSP	0.186
1185	MSP	PHX	0.707
1186	PHX	TUS	0.13
1188	TUS	PHX	0.13
1189	PHX	MSP	0.707
1190	MSP	GFK	0.186
1191	GFK	MSP	0.186
1192	MSP	PHX	0.707
1193	PHX	TUS	0.13
1195	BDL	MDW	0.348
1196	MDW	PDX	1.1
1197	PDX	LAS	0.344
1198	LAS	BDL	1.3
1200	BIL	SLC	0.22
1201	SLC	BIL	0.22
1203	TUS	SLC	0.291
1204	SLC	PHX	0.26
1205	PHX	TUS	0.13
1207	STL	DFW	0.273
1208	DFW	TUS	0.366
1209	TUS	DFW	0.366
1210	DFW	STL	0.273
1212	BDL	ORD	0.35
